airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
"Air India, Spicejet",AI-809 | AI-531 | SG-8194,10:00,Mumbai,21 hrs 45 mins ,07:45+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,400","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Air India, IndiGo",AI-538 | AI-851 | 6E-2296,21:00,Mumbai,23 hrs 15 mins ,20:15+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","3 stop via New Delhi,Pune,Ahmedabad",2020-10-05,0,2020-10-04,6
"Vistara, IndiGo",UK-940 | UK-979 | 6E-2296,19:40,Mumbai,24 hrs 35 mins ,20:15+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Air India, Spicejet",AI-866 | AI-531 | SG-8194,07:00,Mumbai,24 hrs 45 mins ,07:45+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,400","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Vistara, IndiGo",UK-940 | UK-979 | 6E-267,19:40,Mumbai,27 hrs 15 mins ,22:55+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Air India, IndiGo",AI-687 | AI-851 | 6E-2296,16:45,Mumbai,27 hrs 30 mins ,20:15+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","3 stop via New Delhi,Pune,Ahmedabad",2020-10-05,0,2020-10-04,6
"Air India, Vistara",AI-538 | AI-851 | UK-966,21:00,Mumbai,23 hrs 30 mins ,20:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,400","3 stop via New Delhi,Pune,Ahmedabad",2020-10-05,0,2020-10-04,6
Vistara,UK-940 | UK-979 | UK-966,19:40,Mumbai,24 hrs 50 mins ,20:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Air India, Vistara",AI-687 | AI-851 | UK-966,16:45,Mumbai,27 hrs 45 mins ,20:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","3 stop via New Delhi,Pune,Ahmedabad",2020-10-05,0,2020-10-04,6
Go Air,G8-351 | G8-2507,08:55,Mumbai,12 hrs 15 mins ,21:10,New Delhi,"₹ 4,400",1 stop via Patna,2020-10-05,0,2020-10-04,6
"IndiGo, Spicejet",6E-639 | SG-8719 | SG-8722,19:35,Mumbai,15 hrs 05 mins ,10:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","2 stop via Ahmedabad,Patna",2020-10-05,0,2020-10-04,6
"IndiGo, Spicejet",6E-639 | SG-8719 | SG-943,19:35,Mumbai,28 hrs 15 mins ,23:50+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,007","2 stop via Ahmedabad,Patna",2020-10-05,0,2020-10-04,6
"Air India, Go Air",AI-538 | AI-851 | G8-537 | G8-322,21:00,Mumbai,26 hrs 40 mins ,23:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,400","4 stop via New Delhi,Pune,Ahmedabad,Mumbai",2020-10-05,0,2020-10-04,6
"Vistara, Go Air",UK-940 | UK-979 | G8-537 | G8-322,19:40,Mumbai,28 hrs ,23:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,138","3 stop via New Delhi,Ahmedabad,Mumbai",2020-10-05,0,2020-10-04,6
"Air India, Go Air",AI-687 | AI-851 | G8-537 | G8-322,16:45,Mumbai,30 hrs 55 mins ,23:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,138","4 stop via New Delhi,Pune,Ahmedabad,Mumbai",2020-10-05,0,2020-10-04,6
