airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
Vistara,UK-993 | UK-771,13:50,New Delhi,20 hrs 20 mins ,10:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,883",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Vistara,UK-945 | UK-771,12:30,New Delhi,21 hrs 40 mins ,10:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,357",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Vistara,UK-977 | UK-773,19:30,New Delhi,22 hrs 40 mins ,18:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,357",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Vistara,UK-955 | UK-773,18:10,New Delhi,24 hrs ,18:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,883",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Vistara,UK-995 | UK-771,09:25,New Delhi,24 hrs 45 mins ,10:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,357",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Air India,AI-889 | AI-714,11:20,New Delhi,05 hrs 55 mins ,17:15,Kolkata,"₹ 4,357",1 stop via Imphal,2020-11-24,1,2020-11-09,0
Vistara,UK-933 | UK-771,15:10,New Delhi,19 hrs ,10:10+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,883",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Air India,AI-624 | AI-675,20:00,New Delhi,12 hrs 50 mins ,08:50+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,357",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Air India,AI-537 | AI-675,17:00,New Delhi,15 hrs 50 mins ,08:50+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,357",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Air India,AI-851 | AI-571 | AI-525,06:30,New Delhi,25 hrs 25 mins ,07:55+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,883","3 stop via Pune,Ahmedabad,Hyderabad",2020-11-24,1,2020-11-09,0
airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
AirAsia,I5-984 | I5-741,23:25,Mumbai,14 hrs 55 mins ,14:20+1 DAYArrival : New Delhi26 Nov 2020,New Delhi,"₹ 3,999",1 stop via Bengaluru,2020-11-25,2,2020-11-09,0
Go Air,G8-327,06:00,Mumbai,02 hrs 05 mins ,08:05,New Delhi,"₹ 3,999",Non stop,2020-11-25,2,2020-11-09,0
Go Air,G8-326,20:25,Mumbai,02 hrs 05 mins ,22:30,New Delhi,"₹ 4,367",Non stop,2020-11-25,2,2020-11-09,0
Go Air,G8-322,21:35,Mumbai,02 hrs 05 mins ,23:40,New Delhi,"₹ 4,005",Non stop,2020-11-25,2,2020-11-09,0
Vistara,UK-960,11:05,Mumbai,02 hrs 05 mins ,13:10,New Delhi,"₹ 4,005",Non stop,2020-11-25,2,2020-11-09,0
Vistara,UK-944,13:35,Mumbai,02 hrs 05 mins ,15:40,New Delhi,"₹ 4,452",Non stop,2020-11-25,2,2020-11-09,0
Vistara,UK-940,19:40,Mumbai,02 hrs 05 mins ,21:45,New Delhi,"₹ 7,652",Non stop,2020-11-25,2,2020-11-09,0
Vistara,UK-970,08:45,Mumbai,02 hrs 10 mins ,10:55,New Delhi,"₹ 4,005",Non stop,2020-11-25,2,2020-11-09,0
Vistara,UK-910,17:00,Mumbai,02 hrs 10 mins ,19:10,New Delhi,"₹ 4,005",Non stop,2020-11-25,2,2020-11-09,0
Vistara,UK-996,18:00,Mumbai,02 hrs 10 mins ,20:10,New Delhi,"₹ 4,452",Non stop,2020-11-25,2,2020-11-09,0
Air India,AI-866,07:00,Mumbai,02 hrs 15 mins ,09:15,New Delhi,"₹ 7,652",Non stop,2020-11-25,2,2020-11-09,0
Air India,AI-809,10:00,Mumbai,02 hrs 15 mins ,12:15,New Delhi,"₹ 4,005",Non stop,2020-11-25,2,2020-11-09,0
Air India,AI-687,16:45,Mumbai,02 hrs 15 mins ,19:00,New Delhi,"₹ 4,005",Non stop,2020-11-25,2,2020-11-09,0
Air India,AI-538,21:00,Mumbai,02 hrs 15 mins ,23:15,New Delhi,"₹ 4,452",Non stop,2020-11-25,2,2020-11-09,0
Vistara,UK-902,15:45,Mumbai,02 hrs 20 mins ,18:05,New Delhi,"₹ 7,652",Non stop,2020-11-25,2,2020-11-09,0
Spicejet,SG-790,15:15,Mumbai,02 hrs 05 mins ,17:20,New Delhi,"₹ 4,006",Non stop,2020-11-25,2,2020-11-09,0
Spicejet,SG-8158,19:50,Mumbai,02 hrs 05 mins ,21:55,New Delhi,"₹ 4,006",Non stop,2020-11-25,2,2020-11-09,0
IndiGo,6E-6284,14:15,Mumbai,02 hrs 10 mins ,16:25,New Delhi,"₹ 4,636",Non stop,2020-11-25,2,2020-11-09,0
IndiGo,6E-104,06:15,Mumbai,02 hrs 15 mins ,08:30,New Delhi,"₹ 5,539",Non stop,2020-11-25,2,2020-11-09,0
Spicejet,SG-8152,07:20,Mumbai,02 hrs 15 mins ,09:35,New Delhi,"₹ 6,098",Non stop,2020-11-25,2,2020-11-09,0
IndiGo,6E-5047,07:40,Mumbai,02 hrs 15 mins ,09:55,New Delhi,"₹ 4,006",Non stop,2020-11-25,2,2020-11-09,0
IndiGo,6E-6374,09:40,Mumbai,02 hrs 15 mins ,11:55,New Delhi,"₹ 4,006",Non stop,2020-11-25,2,2020-11-09,0
IndiGo,6E-407,12:00,Mumbai,02 hrs 15 mins ,14:15,New Delhi,"₹ 4,636",Non stop,2020-11-25,2,2020-11-09,0
IndiGo,6E-2036,18:35,Mumbai,02 hrs 15 mins ,20:50,New Delhi,"₹ 5,539",Non stop,2020-11-25,2,2020-11-09,0
